kalshi_game_id,espn_game_id
KXNCAAMBGAME-26FEB21DARTCLMB,401818545
KXNCAAMBGAME-26FEB21UMKCNDSU,401818431
KXNCAAMBGAME-26FEB21MRSHCCAR,401808682
KXNCAAMBGAME-26FEB21MSSTSCAR,401808254
KXNCAAMBGAME-26FEB21ALBYUMBC,401812162
KXNCAAMBGAME-26FEB21CHATCIT,401809379
KXNCAAMBGAME-26FEB21BINGMASSL,401812163
KXNCAAMBGAME-26FEB21ECUCHAR,401828238
KXNCAAMBGAME-26FEB21LCHIJOES,401828441
KXNCAAMBGAME-26FEB20BGSUMOH,401814575
KXNCAAMBGAME-26FEB20INDPUR,401825528
KXNCAAMBGAME-26FEB20SPCIONA,401823851
KXNCAAMBGAME-26FEB20MILWDET,401817675
KXNCAAMBGAME-26FEB20NIAGMSM,401813393
KXNCAAMBGAME-26FEB20CPHAW,401809148
KXNCAAMBGAME-26FEB19UCDCSF,401809135
KXNCAAMBGAME-26FEB19CSBUCRV,401823743
KXNCAAMBGAME-26FEB19CSNUCSB,401823268
KXNCAAMBGAME-26FEB19TXSOARPB,401827148
KXNCAAMBGAME-26FEB19LINWTNST,401806493
KXNCAAMBGAME-26FEB19SUUTARL,401805199
KXNCAAMBGAME-26FEB19UTMUALR,401806494
KXNCAAMBGAME-26FEB19UMKCUND,401818427
KXNCAAMBGAME-26FEB19UNCAHP,401823952
KXNCAAMBGAME-26FEB19ALBYNJIT,401812158
KXNCAAMBGAME-26FEB19FDUCHS,401812329
KXNCAAMBGAME-26FEB19WAGMHU,401812416
KXNCAAMBGAME-26FEB19WEBBRAD,401823950
KXNCAAMBGAME-26FEB19ALSTCOOK,401827124
KXNCAAMBGAME-26FEB19LONGPRE,401823951
KXNCAAMBGAME-26FEB19SCUSWIN,401823953
KXNCAAMBGAME-26FEB19PEAYUNF,401807746
KXNCAAMBGAME-26FEB19CHATMER,401809376
KXNCAAMBGAME-26FEB19WMCAMP,401812073
KXNCAAMBGAME-26FEB19LMCCCSU,401812347
KXNCAAMBGAME-26FEB19STNHNHC,401812409
KXNCAAMBGAME-26FEB19UNHMASSL,401812160
KXNCAAMBGAME-26FEB18BSUUSU,401823830
KXNCAAMBGAME-26FEB18MURRILST,401830306
KXNCAAMBGAME-26FEB18VANMIZZ,401808246
KXNCAAMBGAME-26FEB18KENNMOSU,401804935
KXNCAAMBGAME-26FEB18ORUNEOM,401818425
KXNCAAMBGAME-26FEB18MDNW,401825525
KXNCAAMBGAME-26FEB18CHARTLSA,401828233
KXNCAAMBGAME-26FEB18UWGAEKY,401807750
KXNCAAMBGAME-26FEB18JACFGCU,401807748
KXNCAAMBGAME-26FEB18JMUCCAR,401803638
KXNCAAMBGAME-26FEB18JVSTLT,401804934
KXNCAAMBGAME-26FEB18MTUSHSU,401804937
KXNCAAMBGAME-26FEB18BRADVALP,401830224
KXNCAAMBGAME-26FEB18LCHIFOR,401828435
KXNCAAMBGAME-26FEB18MISSTXAM,401808248
KXNCAAMBGAME-26FEB18OKLATENN,401808247
KXNCAAMBGAME-26FEB18ARMYLMD,401820206
KXNCAAMBGAME-26FEB18JOESSBON,401828436
KXNCAAMBGAME-26FEB18CLEVYSU,401817672
KXNCAAMBGAME-26FEB17GCSDSU,401823782
KXNCAAMBGAME-26FEB17AFAUNM,401820571
KXNCAAMBGAME-26FEB17MOHMASS,401814572
KXNCAAMBGAME-26FEB17UNCNCST,401820752
KXNCAAMBGAME-26FEB17SCARFLA,401808241
KXNCAAMBGAME-26FEB17NIUBUFF,401814573
KXNCAAMBGAME-26FEB17WEBBCHSO,401823930
KXNCAAMBGAME-26FEB16ACTARL,401858742
KXNCAAMBGAME-26FEB16ARPBAAMU,401827147
KXNCAAMBGAME-26FEB16DREXSTON,401812070
KXNCAAMBGAME-26FEB16LAMUTRGV,401808983
KXNCAAMBGAME-26FEB16MCNSNWST,401808885
KXNCAAMBGAME-26FEB16UNOIW,401808914
KXNCAAMBGAME-26FEB16COOKJKST,401827123
KXNCAAMBGAME-26FEB15BELMURR,401830214
KXNCAAMBGAME-26FEB15TOWSMONM,401812067
KXNCAAMBGAME-26FEB15COFCCAMP,401812069
KXNCAAMBGAME-26FEB15EKYUNA,401807740
KXNCAAMBGAME-26FEB15WRSTCLEV,401817669
KXNCAAMBGAME-26FEB15IONANIAG,401813392
KXNCAAMBGAME-26FEB15INSTVALP,401830304
KXNCAAMBGAME-26FEB15FAIRSPC,401823319
KXNCAAMBGAME-26FEB15YSUDET,401817668
KXNCAAMBGAME-26FEB15INDILL,401825518
KXNCAAMBGAME-26FEB15UTSACHAR,401828229
KXNCAAMBGAME-26FEB15DENNEOM,401818423
KXNCAAMBGAME-26FEB15HCLMD,401820205
KXNCAAMBGAME-26FEB14CSFUCI,401809117
KXNCAAMBGAME-26FEB14UCRVUCSD,401809099
KXNCAAMBGAME-26FEB14TEXMIZZ,401808236
KXNCAAMBGAME-26FEB14SCARALA,401808240
KXNCAAMBGAME-26FEB14MTUWKU,401804931
KXNCAAMBGAME-26FEB14USTUMKC,401818422
KXNCAAMBGAME-26FEB14HAWCSN,401809147
KXNCAAMBGAME-26FEB14CLMBPRIN,401818544
KXNCAAMBGAME-26FEB14SFAUTRGV,401808972
KXNCAAMBGAME-26FEB14BELLPEAY,401807739
KXNCAAMBGAME-26FEB14MCNSETAM,401808718
KXNCAAMBGAME-26FEB14SEMOLINW,401806487
KXNCAAMBGAME-26FEB14WCUCHAT,401809368
KXNCAAMBGAME-26FEB14AFAFRES,401820570
KXNCAAMBGAME-26FEB14GCSJSU,401823802
KXNCAAMBGAME-26FEB14NMSUJVST,401804928
KXNCAAMBGAME-26FEB14NICHIW,401808929
KXNCAAMBGAME-26FEB14TARLAC,401805196
KXNCAAMBGAME-26FEB14ARPBALST,401827166
KXNCAAMBGAME-26FEB14UALREIU,401806486
KXNCAAMBGAME-26FEB14DUQSBON,401828426
KXNCAAMBGAME-26FEB14MIANCST,401820741
KXNCAAMBGAME-26FEB14ALBYBING,401812154
KXNCAAMBGAME-26FEB14COOKALCN,401827122
KXNCAAMBGAME-26FEB14UNFJAC,401807742
KXNCAAMBGAME-26FEB14UGAOKLA,401808239
KXNCAAMBGAME-26FEB14DELMOSU,401804933
KXNCAAMBGAME-26FEB14ELONWM,401812068
KXNCAAMBGAME-26FEB14HPWEBB,401823947
KXNCAAMBGAME-26FEB14WAGSTNH,401812408
KXNCAAMBGAME-26FEB14PREUNCA,401823948
KXNCAAMBGAME-26FEB14MHUSFPA,401812397
KXNCAAMBGAME-26FEB14UWGACARK,401807744
KXNCAAMBGAME-26FEB14TXAMVAN,401808238
KXNCAAMBGAME-26FEB14LIUNHC,401812375
KXNCAAMBGAME-26FEB14NWNEB,401825515
KXNCAAMBGAME-26FEB13UNLVBSU,401823829
KXNCAAMBGAME-26FEB13OHIOMOH,401814565
KXNCAAMBGAME-26FEB13SLULCHI,401828425
KXNCAAMBGAME-26FEB13CLMBPENN,401812593
KXNCAAMBGAME-26FEB13MANNIAG,401813316
KXNCAAMBGAME-26FEB12CSFLBSU,401823184
KXNCAAMBGAME-26FEB12UCSBUCRV,401826048
KXNCAAMBGAME-26FEB12LTMOSU,401804925
KXNCAAMBGAME-26FEB12UTAAC,401805193
KXNCAAMBGAME-26FEB12HAWCSB,401809146
KXNCAAMBGAME-26FEB12UALRWIU,401806482
KXNCAAMBGAME-26FEB12CCARULL,401808667
KXNCAAMBGAME-26FEB12UTMLINW,401806481
KXNCAAMBGAME-26FEB12MURRINST,401830299
KXNCAAMBGAME-26FEB12USTNEOM,401818418
KXNCAAMBGAME-26FEB12UMKCORU,401818419
KXNCAAMBGAME-26FEB12VALPILST,401830301
KXNCAAMBGAME-26FEB12HPSCUS,401823942
KXNCAAMBGAME-26FEB12STONTOWS,401812064
KXNCAAMBGAME-26FEB12PRECHSO,401823943
KXNCAAMBGAME-26FEB12RMUCLEV,401817665
KXNCAAMBGAME-26FEB12WMNE,401812061
KXNCAAMBGAME-26FEB12MHULMC,401812345
KXNCAAMBGAME-26FEB12CCSUNHC,401812656
KXNCAAMBGAME-26FEB12DETWRST,401817663
KXNCAAMBGAME-26FEB12WINWEBB,401823945
KXNCAAMBGAME-26FEB12MTUKENN,401804926
KXNCAAMBGAME-26FEB12STNHCHS,401812407
KXNCAAMBGAME-26FEB12BRYMASSL,401812150
KXNCAAMBGAME-26FEB11UNMGC,401823801
KXNCAAMBGAME-26FEB11MIZZTXAM,401808228
KXNCAAMBGAME-26FEB11MICHNW,401825509
KXNCAAMBGAME-26FEB11EKYLIP,401807734
KXNCAAMBGAME-26FEB11JACSTET,401807736
KXNCAAMBGAME-26FEB11PEAYQUC,401807733
KXNCAAMBGAME-26FEB11BUFFBALL,401814559
KXNCAAMBGAME-26FEB11UTEPJVST,401804923
KXNCAAMBGAME-26FEB11CHATETSU,401809363
KXNCAAMBGAME-26FEB11LMDLAF,401820204
KXNCAAMBGAME-26FEB11UWGAUNA,401807738
KXNCAAMBGAME-26FEB10CSUAFA,401820569
KXNCAAMBGAME-26FEB09UNIMURR,401830295
KXNCAAMBGAME-26FEB09HCUMCNS,401808884
KXNCAAMBGAME-26FEB09OREIND,401825505
KXNCAAMBGAME-26FEB09IWSELA,401808963
KXNCAAMBGAME-26FEB09TXSOCOOK,401827121
KXNCAAMBGAME-26FEB09UTRGVNICH,401808928
KXNCAAMBGAME-26FEB09VALPDRKE,401830297
KXNCAAMBGAME-26FEB09NCSTLOU,401820730
KXNCAAMBGAME-26FEB09JKSTARPB,401828666
KXNCAAMBGAME-26JAN26WAGLIU,401812370
KXNCAAMBGAME-26FEB08NWIOWA,401825501
KXNCAAMBGAME-26FEB08CHARMEM,401828217
KXNCAAMBGAME-26FEB08UCSDHAW,401809097
KXNCAAMBGAME-26FEB07BSUUNM,401823828
KXNCAAMBGAME-26FEB07FLATXAM,401808224
KXNCAAMBGAME-26FEB07SDSUAFA,401820568
KXNCAAMBGAME-26FEB07ACCBU,401805190
KXNCAAMBGAME-26FEB07TARLSUU,401805191
KXNCAAMBGAME-26FEB07ORUUST,401818414
KXNCAAMBGAME-26FEB07KENNJVST,401804919
KXNCAAMBGAME-26FEB07MASSLALBY,401812148
KXNCAAMBGAME-26FEB07RADHP,401823941
KXNCAAMBGAME-26FEB07CSBCSF,401823183
KXNCAAMBGAME-26FEB07ALCNARPB,401829688
KXNCAAMBGAME-26FEB07PVCOOK,401827075
KXNCAAMBGAME-26FEB07UTRGVUNO,401808911
KXNCAAMBGAME-26FEB07UNAPEAY,401807730
KXNCAAMBGAME-26FEB07STETEKY,401807732
KXNCAAMBGAME-26FEB07GCUNLV,401823800
KXNCAAMBGAME-26FEB07IWMCNS,401808883
KXNCAAMBGAME-26FEB07BUFFUSA,401845845
KXNCAAMBGAME-26FEB07SIUEUALR,401806476
KXNCAAMBGAME-26FEB07OKLAVAN,401808225
KXNCAAMBGAME-26FEB07STNHLIU,401812373
KXNCAAMBGAME-26FEB07UCRVCSN,401823267
KXNCAAMBGAME-26FEB07MOHMRSH,401845843
KXNCAAMBGAME-26FEB07TOWSHOF,401812056
KXNCAAMBGAME-26FEB07MHUFDU,401812326
KXNCAAMBGAME-26FEB07NESTON,401812054
KXNCAAMBGAME-26FEB07SIESPC,401813428
KXNCAAMBGAME-26FEB07CITCHAT,401809358
KXNCAAMBGAME-26FEB07WEBBPRE,401823939
KXNCAAMBGAME-26FEB07CORCLMB,401818543
KXNCAAMBGAME-26FEB07JACUWGA,401807729
KXNCAAMBGAME-26FEB07NIAGQUIN,401813391
KXNCAAMBGAME-26FEB07DETGB,401817658
KXNCAAMBGAME-26FEB07WMHAMP,401812057
KXNCAAMBGAME-26FEB07CHSOSCUS,401823938
